Numero Veiculo,Placa,Tipo de Veiculo,Data,Km Percorrido,Diesel,Km Diesel,Motor,Km Motor,Dies Mot,Custo Combustivel
103062,LNH5J42,5 - URBANO COM AR,1-May-25,4939,2227.8,2.22,0,0,0,13233.13
103064,LRJ4H13,5 - URBANO COM AR,1-May-25,5052,2044.4,2.47,0,0,0,12143.74
103065,LMP3D06,5 - URBANO COM AR,1-May-25,5776,2218,2.6,0,0,0,13174.92
103066,LRJ4H12,5 - URBANO COM AR,1-May-25,4233,1830.9,2.31,0,0,0,10875.55
146002,SQW3A92,5 - URBANO COM AR,1-May-25,5833,1815.2,3.21,0,0,0,10782.29
146011,KZO6I35,5 - URBANO COM AR,1-May-25,5283,2118.6,2.49,0,0,0,12584.48
146013,SRO3E84,5 - URBANO COM AR,1-May-25,7240,2272.8,3.19,0,0,0,13500.43
146017,RIV1I99,5 - URBANO COM AR,1-May-25,6158,1921.8,3.2,0,0,0,11415.49
146018,RIU5J52,5 - URBANO COM AR,1-May-25,5738,1806.6,3.18,0,0,0,10731.2
146021,SQW0G10,5 - URBANO COM AR,1-May-25,6030,2025.9,2.98,0,0,0,12033.85
146024,KRY6A62,5 - URBANO COM AR,1-May-25,6889,2046.7,3.37,0,0,0,12157.4
146028,LTQ9A88,5 - URBANO COM AR,1-May-25,4698,1707.5,2.75,0,0,0,10142.55
146030,RIO3G85,5 - URBANO COM AR,1-May-25,5379,1746.5,3.08,0,0,0,10374.21
146031,RKR9H46,5 - URBANO COM AR,1-May-25,4514,1550.8,2.91,0,0,0,9211.75
146036,TTR0B75,5 - URBANO COM AR,1-May-25,8134,2387.6,3.41,0,0,0,14182.34
146038,RIO3G87,5 - URBANO COM AR,1-May-25,5310,1734.7,3.06,0,0,0,10304.12
146041,RKK7D97,5 - URBANO COM AR,1-May-25,11118,3179.7,3.5,0,0,0,18887.42
146047,RJZ4B98,5 - URBANO COM AR,1-May-25,5631,1878.9,3,0,0,0,11160.67
146049,LMV3F20,5 - URBANO COM AR,1-May-25,5025,1698.3,2.96,0,0,0,10087.9
146055,SRP3E83,5 - URBANO COM AR,1-May-25,5518,2262.3,2.44,0,0,0,13438.06
146056,LUH7H82,5 - URBANO COM AR,1-May-25,5126,1744.6,2.94,0,0,0,10362.92
146060,SRB8I88,5 - URBANO COM AR,1-May-25,5728,2055.2,2.79,0,0,0,12207.89
146064,KRY7727,5 - URBANO COM AR,1-May-25,5013,1966.1,2.55,0,0,0,11678.63
146065,LTT7J61,5 - URBANO COM AR,1-May-25,6580,2025,3.25,0,0,0,12028.5
146066,KKV9E51,5 - URBANO COM AR,1-May-25,4813,1800.6,2.67,0,0,0,10695.56
146073,RKV9E56,5 - URBANO COM AR,1-May-25,4793,1634,2.93,0,0,0,9705.96
146081,LUK7I19,5 - URBANO COM AR,1-May-25,5356,1943.8,2.76,0,0,0,11546.17
146085,SQY5E00,5 - URBANO COM AR,1-May-25,4318,1833.2,2.36,0,0,0,10889.21
146091,RJY7D02,5 - URBANO COM AR,1-May-25,6237,1823.4,3.42,0,0,0,10831
146092,SRA1A70,5 - URBANO COM AR,1-May-25,5128,1910.9,2.68,0,0,0,11350.75
146093,LUI5H60,5 - URBANO COM AR,1-May-25,5625,1863.7,3.02,0,0,0,11070.38
146094,RJI9G10,5 - URBANO COM AR,1-May-25,5930,1775,3.34,0,0,0,10543.5
146095,SRD9C75,5 - URBANO COM AR,1-May-25,6044,1788.4,3.38,0,0,0,10623.1
146100,SRB8I78,5 - URBANO COM AR,1-May-25,8063,2494.4,3.23,0,0,0,14816.74
146105,SRS0B53,5 - URBANO COM AR,1-May-25,6052,1813.1,3.34,0,0,0,10769.81
146109,KRY7725,5 - URBANO COM AR,1-May-25,2874,1043.3,2.75,0,0,0,6197.2
146110,KRY6883,5 - URBANO COM AR,1-May-25,4582,1848.4,2.48,0,0,0,10979.5
146113,LRJ2E73,5 - URBANO COM AR,1-May-25,5726,1806.4,3.17,0,0,0,10730.02
146115,KRY7728,5 - URBANO COM AR,1-May-25,5035,1652.6,3.05,0,0,0,9816.44
146147,KRT2185,5 - URBANO COM AR,1-May-25,245,102.7,2.39,0,0,0,610.04
146148,LSU3251,5 - URBANO COM AR,1-May-25,5212,2133.9,2.44,0,0,0,12675.37
103010,LUI9D53,5 - URBANO COM AR,1-Jan-25,556,242.8,2.29,0,0,0,1442.23
103010,LUI9D53,5 - URBANO COM AR,1-Feb-24,1591,776.9,2.05,0,0,0,4614.79
103010,LUI9D53,5 - URBANO COM AR,1-Mar-24,4752,2313.1,2.05,0,0,0,13739.81
103010,LUI9D53,5 - URBANO COM AR,1-May-24,3055,1445.9,2.11,0,0,0,8588.65
103010,LUI9D53,5 - URBANO COM AR,1-Jun-24,5239,2364.5,2.22,0,0,0,14045.13
103010,LUI9D53,5 - URBANO COM AR,1-Aug-24,867,384.6,2.25,0,0,0,2284.52
103010,LUI9D53,5 - URBANO COM AR,1-Sep-24,5300,2137.6,2,0,0,0,12697.34
103012,LUI9D55,5 - URBANO COM AR,1-Feb-24,4116,1854.5,2.22,0,0,0,11015.73
103012,LUI9D55,5 - URBANO COM AR,1-Mar-24,3175,1492.5,2.13,0,0,0,8865.45
103012,LUI9D55,5 - URBANO COM AR,1-Apr-24,5804,2686.4,2.16,0,0,0,15957.22
103012,LUI9D55,5 - URBANO COM AR,1-Dec-24,6302,2785,2,0,0,0,16542.9
103014,RIW5F85,5 - URBANO COM AR,1-Mar-24,3855,1806.4,2.13,0,0,0,10730.02
103014,RIW5F85,5 - URBANO COM AR,1-May-24,5525,2486.8,2.22,0,0,0,14771.59
103014,RIW5F85,5 - URBANO COM AR,1-Oct-24,72,42.2,1.71,0,0,0,250.67
103019,LUI9D54,5 - URBANO COM AR,1-Mar-24,5239,2458.2,2.13,0,0,0,14601.71
103019,LUI9D54,5 - URBANO COM AR,1-Apr-24,5024,2340.2,2.15,0,0,0,13900.79
103019,LUI9D54,5 - URBANO COM AR,1-Jun-24,5618,2502.2,2.25,0,0,0,14863.07
103019,LUI9D54,5 - URBANO COM AR,1-Sep-24,5540,2231.9,2,0,0,0,13257.49
103020,RIO3G91,5 - URBANO COM AR,1-Apr-24,5837,2652.4,2.2,0,0,0,15755.26
103020,RIO3G91,5 - URBANO COM AR,1-Aug-24,6011,2471.6,2.43,0,0,0,14681.3
103020,RIO3G91,5 - URBANO COM AR,1-Sep-24,6760,2706.7,2,0,0,0,16077.8
103023,LUI9D56,5 - URBANO COM AR,1-Jan-25,1504,750.2,2,0,0,0,4456.19
103023,LUI9D56,5 - URBANO COM AR,1-Mar-24,5419,2490.2,2.18,0,0,0,14791.79
103023,LUI9D56,5 - URBANO COM AR,1-May-24,5472,2461.8,2.22,0,0,0,14623.09
103023,LUI9D56,5 - URBANO COM AR,1-Aug-24,6083,2617.4,2.32,0,0,0,15547.36
103023,LUI9D56,5 - URBANO COM AR,1-Sep-24,4371,1804.6,2,0,0,0,10719.32
103023,LUI9D56,5 - URBANO COM AR,1-Nov-24,4846,2163.4,2.24,0,0,0,12850.6
103025,SQZ3E24,5 - URBANO COM AR,1-May-24,5700,2804.8,2.03,0,0,0,16660.51
103025,SQZ3E24,5 - URBANO COM AR,1-Sep-24,5904,2349,2.51,0,0,0,13953.06
103025,SQZ3E24,5 - URBANO COM AR,1-Oct-24,6060,2594.9,2.34,0,0,0,15413.71
103027,SQY4G96,5 - URBANO COM AR,1-Jan-24,3872,1920.8,2.02,0,0,0,11409.55
103027,SQY4G96,5 - URBANO COM AR,1-Jan-25,5947,2811.2,2.12,0,0,0,16698.53
103027,SQY4G96,5 - URBANO COM AR,1-Mar-24,2793,1421.3,1.97,0,0,0,8442.52
103027,SQY4G96,5 - URBANO COM AR,1-Apr-24,5858,2811.6,2.08,0,0,0,16700.9
103027,SQY4G96,5 - URBANO COM AR,1-May-24,5385,2652.7,2.03,0,0,0,15757.04
103027,SQY4G96,5 - URBANO COM AR,1-Aug-24,5985,2734.7,2.19,0,0,0,16244.12
103027,SQY4G96,5 - URBANO COM AR,1-Oct-24,6160,2731.8,2.25,0,0,0,16226.89
103029,RIO3G92,5 - URBANO COM AR,1-Jan-25,6021,2847.5,2.11,0,0,0,16914.15
103029,RIO3G92,5 - URBANO COM AR,1-Apr-24,6241,2743.4,2.27,0,0,0,16295.8
103029,RIO3G92,5 - URBANO COM AR,1-May-24,6932,2886.9,2.4,0,0,0,17148.19
103029,RIO3G92,5 - URBANO COM AR,1-Jun-24,5583,2239,2.49,0,0,0,13299.66
103029,RIO3G92,5 - URBANO COM AR,1-Jul-24,6780,2634.2,2.57,0,0,0,15647.15
103029,RIO3G92,5 - URBANO COM AR,1-Aug-24,6207,2535.5,2.45,0,0,0,15060.87
103029,RIO3G92,5 - URBANO COM AR,1-Oct-24,6074,2518,2.41,0,0,0,14956.92
103029,RIO3G92,5 - URBANO COM AR,1-Dec-24,5876,2691.1,2,0,0,0,15985.13
103030,RIO3G90,5 - URBANO COM AR,1-Jan-24,6412,2840.5,2.26,0,0,0,16872.57
103030,RIO3G90,5 - URBANO COM AR,1-Apr-24,5790,2728,2.12,0,0,0,16204.32
103030,RIO3G90,5 - URBANO COM AR,1-Sep-24,5809,2373.9,2,0,0,0,14100.97
103030,RIO3G90,5 - URBANO COM AR,1-Dec-24,6606,2969.6,2,0,0,0,17639.42
103031,SRU3C02,5 - URBANO COM AR,1-Mar-24,5752,2803.5,2.05,0,0,0,16652.79
103031,SRU3C02,5 - URBANO COM AR,1-May-24,5826,2765.6,2.11,0,0,0,16427.66
103031,SRU3C02,5 - URBANO COM AR,1-Aug-24,6116,2735.6,2.24,0,0,0,16249.46
103031,SRU3C02,5 - URBANO COM AR,1-Sep-24,5579,2211.4,2.52,0,0,0,13135.72
103031,SRU3C02,5 - URBANO COM AR,1-Dec-24,6224,2903.2,2,0,0,0,17245.01
103032,KRY7729,5 - URBANO COM AR,1-Sep-24,6769,2596.5,2.61,0,0,0,15423.21
103038,RIO3G88,5 - URBANO COM AR,1-Apr-24,6020,2680.9,2.25,0,0,0,15924.55
103038,RIO3G88,5 - URBANO COM AR,1-Dec-24,6503,2853.3,2,0,0,0,16948.6
103039,RIO3G93,5 - URBANO COM AR,1-Jan-25,6559,2878.6,2.28,0,0,0,17098.88
103039,RIO3G93,5 - URBANO COM AR,1-Feb-24,4732,2145.9,2.21,0,0,0,12746.65
103039,RIO3G93,5 - URBANO COM AR,1-Mar-24,6957,3062.2,2.27,0,0,0,18189.47
103039,RIO3G93,5 - URBANO COM AR,1-Sep-24,5770,2298.7,2.51,0,0,0,13654.28
103039,RIO3G93,5 - URBANO COM AR,1-Oct-24,6038,2672.4,2.26,0,0,0,15874.06
103039,RIO3G93,5 - URBANO COM AR,1-Dec-24,6017,2700.6,2,0,0,0,16041.56
103042,SRU3C88,5 - URBANO COM AR,1-Mar-24,5546,2695.6,2.06,0,0,0,16011.86
103042,SRU3C88,5 - URBANO COM AR,1-Apr-24,5404,2687.2,2.01,0,0,0,15961.97
103042,SRU3C88,5 - URBANO COM AR,1-May-24,5878,2782.3,2.11,0,0,0,16526.86
103042,SRU3C88,5 - URBANO COM AR,1-Aug-24,4543,2021.6,2.25,0,0,0,12008.3
103042,SRU3C88,5 - URBANO COM AR,1-Sep-24,5932,2411.4,2,0,0,0,14323.72
103042,SRU3C88,5 - URBANO COM AR,1-Oct-24,6709,2995.6,2.24,0,0,0,17793.86
103042,SRU3C88,5 - URBANO COM AR,1-Nov-24,6251,3058.1,2.04,0,0,0,18165.11
103043,SRW4I13,5 - URBANO COM AR,1-Nov-24,6401,3085.3,2.07,0,0,0,18326.68
103044,SRW4I10,5 - URBANO COM AR,1-Oct-24,6309,2613.5,2.41,0,0,0,15524.19
103045,SRW4I04,5 - URBANO COM AR,1-Jan-25,6893,2954.7,2.33,0,0,0,17550.92
103045,SRW4I04,5 - URBANO COM AR,1-Dec-24,6425,2807.6,2,0,0,0,16677.14
103046,SRW4I06,5 - URBANO COM AR,1-Aug-24,1398,327.3,4.27,0,0,0,1944.16
103046,SRW4I06,5 - URBANO COM AR,1-Oct-24,7260,2833,2.56,0,0,0,16828.02
103049,KRY7730,5 - URBANO COM AR,1-Sep-24,8048,3044.6,2.64,0,0,0,18084.92
103049,KRY7730,5 - URBANO COM AR,1-Dec-24,7316,3012.8,2,0,0,0,17896.03
103050,KRY7731,5 - URBANO COM AR,1-Feb-24,5217,2368.4,2.2,0,0,0,14068.3
103050,KRY7731,5 - URBANO COM AR,1-Mar-24,5181,2368,2.19,0,0,0,14065.92
103050,KRY7731,5 - URBANO COM AR,1-Oct-24,8074,3241.2,2.49,0,0,0,19252.73
103050,KRY7731,5 - URBANO COM AR,1-Dec-24,8067,3301,2,0,0,0,19607.94
103051,LTC9024,5 - URBANO COM AR,1-Jan-25,7521,3101.2,2.43,0,0,0,18421.13
103052,LTC9025,5 - URBANO COM AR,1-Apr-24,6886,2981.8,2.31,0,0,0,17711.89
103053,KRY6881,5 - URBANO COM AR,1-Jan-24,6072,2566.9,2.37,0,0,0,15247.39
103055,LTF7122,5 - URBANO COM AR,1-Apr-24,6857,2876.5,2.38,0,0,0,17086.41
103055,LTF7122,5 - URBANO COM AR,1-Jun-24,7476,3061.1,2.44,0,0,0,18182.93
103055,LTF7122,5 - URBANO COM AR,1-Sep-24,7350,2818.6,2.61,0,0,0,16742.48
103055,LTF7122,5 - URBANO COM AR,1-Oct-24,7591,2999.4,2.53,0,0,0,17816.44
103055,LTF7122,5 - URBANO COM AR,1-Dec-24,7222,3129.7,2,0,0,0,18590.42
103057,KRY6882,5 - URBANO COM AR,1-Jan-24,7109,2873.8,2.47,0,0,0,17070.37
103057,KRY6882,5 - URBANO COM AR,1-May-24,7390,2921,2.53,0,0,0,17350.74
103057,KRY6882,5 - URBANO COM AR,1-Dec-24,7820,3115.7,3,0,0,0,18507.26
103062,LNH5J42,5 - URBANO COM AR,1-May-24,5935,2776.5,2.14,0,0,0,16492.41
103062,LNH5J42,5 - URBANO COM AR,1-Nov-24,8537,3703,2.31,0,0,0,21995.82
103062,LNH5J42,5 - URBANO COM AR,1-Dec-24,8429,3607.6,2,0,0,0,21429.14
103063,LTM8I52,5 - URBANO COM AR,1-Jan-24,6688,2853.3,2.34,0,0,0,16948.6
103063,LTM8I52,5 - URBANO COM AR,1-Jan-25,9944,3922.7,2.54,0,0,0,23300.84
103063,LTM8I52,5 - URBANO COM AR,1-Mar-24,6055,2718.4,2.23,0,0,0,16147.3
103063,LTM8I52,5 - URBANO COM AR,1-Aug-24,7116,2824.3,2.52,0,0,0,16776.34
103063,LTM8I52,5 - URBANO COM AR,1-Dec-24,10185,3999.8,3,0,0,0,23758.81
103064,LRJ4H13,5 - URBANO COM AR,1-Apr-24,5800,2806,2.07,0,0,0,16667.64
103064,LRJ4H13,5 - URBANO COM AR,1-May-24,6159,2910.1,2.12,0,0,0,17285.99
103065,LMP3D06,5 - URBANO COM AR,1-Feb-24,5213,2219.2,2.35,0,0,0,13182.05
103065,LMP3D06,5 - URBANO COM AR,1-Aug-24,6417,2444.4,2.63,0,0,0,14519.74
103065,LMP3D06,5 - URBANO COM AR,1-Sep-24,9272,3336.6,2.78,0,0,0,19819.4
103065,LMP3D06,5 - URBANO COM AR,1-Oct-24,9101,3235.9,2.81,0,0,0,19221.25
103065,LMP3D06,5 - URBANO COM AR,1-Dec-24,9587,3506.3,3,0,0,0,20827.42
103066,LRJ4H12,5 - URBANO COM AR,1-Jun-24,6026,2610.2,2.31,0,0,0,15504.59
103066,LRJ4H12,5 - URBANO COM AR,1-Sep-24,5232,2086.9,2.51,0,0,0,12396.19
103066,LRJ4H12,5 - URBANO COM AR,1-Dec-24,6028,2641.7,2,0,0,0,15691.7
146001,KXF7J51,5 - URBANO COM AR,1-Jan-24,9997,3372.7,2.96,0,0,0,20033.84
146001,KXF7J51,5 - URBANO COM AR,1-Jul-24,11579,3436.6,3.37,0,0,0,20413.4
146001,KXF7J51,5 - URBANO COM AR,1-Oct-24,12285,4166.3,2.95,0,0,0,24747.82
146001,KXF7J51,5 - URBANO COM AR,1-Nov-24,11962,3666.2,3.26,0,0,0,21777.23
146002,SQW3A92,5 - URBANO COM AR,1-Jun-24,13299,3991.5,3.33,0,0,0,23709.51
146002,SQW3A92,5 - URBANO COM AR,1-Jul-24,11574,3361.6,3.44,0,0,0,19967.9
146002,SQW3A92,5 - URBANO COM AR,1-Sep-24,13973,4489.1,3,0,0,0,26665.25
146004,RIV1J03,5 - URBANO COM AR,1-Jan-24,12187,4306.8,2.83,0,0,0,25582.39
146004,RIV1J03,5 - URBANO COM AR,1-Jun-24,16129,4299,3.75,0,0,0,25536.06
146004,RIV1J03,5 - URBANO COM AR,1-Jul-24,16696,4504.1,3.71,0,0,0,26754.35
146004,RIV1J03,5 - URBANO COM AR,1-Nov-24,13575,4085.6,3.32,0,0,0,24268.46
146008,RIV1J01,5 - URBANO COM AR,1-Apr-24,10830,3535.1,3.06,0,0,0,20998.49
146008,RIV1J01,5 - URBANO COM AR,1-Sep-24,9570,3236.4,2.96,0,0,0,19224.22
146011,KZO6I35,5 - URBANO COM AR,1-Jun-24,8064,2665.7,3.03,0,0,0,15834.26
146013,SRO3E84,5 - URBANO COM AR,1-Jan-25,12168,3846.1,3.16,0,0,0,22845.83
146013,SRO3E84,5 - URBANO COM AR,1-Apr-24,14865,4822.6,3.08,0,0,0,28646.24
146013,SRO3E84,5 - URBANO COM AR,1-Jun-24,12529,3910.5,3.2,0,0,0,23228.37
146017,RIV1I99,5 - URBANO COM AR,1-Jan-25,10620,3457.7,3.07,0,0,0,20538.74
146017,RIV1I99,5 - URBANO COM AR,1-Mar-24,11008,3584.2,3.07,0,0,0,21290.15
146017,RIV1I99,5 - URBANO COM AR,1-Sep-24,11220,3652.2,3,0,0,0,21694.07
146017,RIV1I99,5 - URBANO COM AR,1-Nov-24,10083,3075.8,3.28,0,0,0,18270.25
146019,KRR6B23,5 - URBANO COM AR,1-Jan-25,7765,2496.1,3.11,0,0,0,14826.83
146019,KRR6B23,5 - URBANO COM AR,1-May-24,9643,3049,3.16,0,0,0,18111.06
146019,KRR6B23,5 - URBANO COM AR,1-Oct-24,11586,3685.7,3.14,0,0,0,21893.06
146019,KRR6B23,5 - URBANO COM AR,1-Dec-24,9133,2717,3,0,0,0,16138.98
146020,RKV9E76,5 - URBANO COM AR,1-Jun-24,8878,3091.4,2.87,0,0,0,18362.92
146021,SQW0G10,5 - URBANO COM AR,1-Jan-25,10996,3837,2.87,0,0,0,22791.78
146021,SQW0G10,5 - URBANO COM AR,1-Apr-24,14069,4254.6,3.31,0,0,0,25272.32
146021,SQW0G10,5 - URBANO COM AR,1-May-24,13239,4162.7,3.18,0,0,0,24726.44
146021,SQW0G10,5 - URBANO COM AR,1-Nov-24,10235,3454.7,2.96,0,0,0,20520.92
146022,RKV9E77,5 - URBANO COM AR,1-Feb-24,7979,3035.7,2.63,0,0,0,18032.06
146024,KRY6A62,5 - URBANO COM AR,1-Jan-25,11941,3656.9,3.27,0,0,0,21721.99
146024,KRY6A62,5 - URBANO COM AR,1-Feb-24,11297,3556,3.18,0,0,0,21122.64
146024,KRY6A62,5 - URBANO COM AR,1-Mar-24,11766,3842.9,3.06,0,0,0,22826.83
146024,KRY6A62,5 - URBANO COM AR,1-Aug-24,12079,3634.6,3.32,0,0,0,21589.52
146025,RKT9E97,5 - URBANO COM AR,1-Oct-24,7669,2871.7,2.67,0,0,0,17057.9
146025,RKT9E97,5 - URBANO COM AR,1-Nov-24,7525,2755,2.73,0,0,0,16364.7
146028,LTQ9A88,5 - URBANO COM AR,1-Apr-24,7155,2858.9,2.5,0,0,0,16981.87
146028,LTQ9A88,5 - URBANO COM AR,1-Nov-24,7121,2777,2.56,0,0,0,16495.38
146028,LTQ9A88,5 - URBANO COM AR,1-Dec-24,7492,2820.1,3,0,0,0,16751.39
146030,RIO3G85,5 - URBANO COM AR,1-Sep-24,9263,2934.5,3,0,0,0,17430.93
146031,RKR9H46,5 - URBANO COM AR,1-Dec-24,7523,2759.9,3,0,0,0,16393.81
146033,RIO3G86,5 - URBANO COM AR,1-Jun-24,11024,3422.9,3.22,0,0,0,20332.03
146033,RIO3G86,5 - URBANO COM AR,1-Sep-24,11515,3777.6,3,0,0,0,22438.94
146036,TTR0B75,5 - URBANO COM AR,1-Jan-25,14609,4185.1,3.49,0,0,0,24859.49
146038,RIO3G87,5 - URBANO COM AR,1-Feb-24,7520,2529.1,2.97,0,0,0,15022.85
146038,RIO3G87,5 - URBANO COM AR,1-Apr-24,8003,2536.9,3.15,0,0,0,15069.19
146038,RIO3G87,5 - URBANO COM AR,1-Jun-24,8334,3211.3,2.6,0,0,0,19075.12
146038,RIO3G87,5 - URBANO COM AR,1-Sep-24,10289,3245.4,3,0,0,0,19277.68
146039,LRW2A21,5 - URBANO COM AR,1-Apr-24,11281,3822.5,2.95,0,0,0,22705.65
146039,LRW2A21,5 - URBANO COM AR,1-May-24,11435,3860.3,2.96,0,0,0,22930.18
146039,LRW2A21,5 - URBANO COM AR,1-Oct-24,12428,4166.5,2.98,0,0,0,24749.01
146040,KRR5F28,5 - URBANO COM AR,1-Feb-24,9196,3097.4,2.97,0,0,0,18398.56
146040,KRR5F28,5 - URBANO COM AR,1-Apr-24,11431,3841.9,2.98,0,0,0,22820.89
146040,KRR5F28,5 - URBANO COM AR,1-Jul-24,12368,3841.9,3.22,0,0,0,22820.89
146040,KRR5F28,5 - URBANO COM AR,1-Aug-24,10973,3516.8,3.12,0,0,0,20889.79
146040,KRR5F28,5 - URBANO COM AR,1-Oct-24,12804,4283.3,2.99,0,0,0,25442.8
146042,KXF7J62,5 - URBANO COM AR,1-May-24,9716,3289.1,2.95,0,0,0,19537.25
146042,KXF7J62,5 - URBANO COM AR,1-Oct-24,12518,4243.3,2.95,0,0,0,25205.2
146044,SQY5D90,5 - URBANO COM AR,1-Jan-25,8360,3541.2,2.36,0,0,0,21034.73
146044,SQY5D90,5 - URBANO COM AR,1-Mar-24,9141,4131.3,2.21,0,0,0,24539.92
146044,SQY5D90,5 - URBANO COM AR,1-Apr-24,6068,2683.4,2.26,0,0,0,15939.4
146044,SQY5D90,5 - URBANO COM AR,1-May-24,3097,1377.9,2.25,0,0,0,8184.73
146044,SQY5D90,5 - URBANO COM AR,1-Jun-24,3131,1349.7,2.32,0,0,0,8017.22
146045,LSQ9I22,5 - URBANO COM AR,1-Feb-24,10623,3429.2,3.1,0,0,0,20369.45
146045,LSQ9I22,5 - URBANO COM AR,1-Jun-24,12215,3957,3.09,0,0,0,23504.58
146045,LSQ9I22,5 - URBANO COM AR,1-Jul-24,13746,4176.7,3.29,0,0,0,24809.6
146045,LSQ9I22,5 - URBANO COM AR,1-Dec-24,11560,3772.2,3,0,0,0,22406.87
146046,KXF7J48,5 - URBANO COM AR,1-Jun-24,11671,3679.5,3.17,0,0,0,21856.23
146049,LMV3F20,5 - URBANO COM AR,1-Jan-25,7857,2743.1,2.86,0,0,0,16294.01
146049,LMV3F20,5 - URBANO COM AR,1-May-24,7579,2881.6,2.63,0,0,0,17116.7
146049,LMV3F20,5 - URBANO COM AR,1-Oct-24,7985,2889,2.76,0,0,0,17160.66
146049,LMV3F20,5 - URBANO COM AR,1-Dec-24,8001,2775.6,3,0,0,0,16487.06
146050,KRY6885,5 - URBANO COM AR,1-Nov-24,8902,3651.1,2.44,0,0,0,21687.53
146052,RJF5H69,5 - URBANO COM AR,1-Jan-24,16773,4760,3.52,0,0,0,28274.4
146052,RJF5H69,5 - URBANO COM AR,1-Apr-24,4788,1450.6,3.3,0,0,0,8616.56
146052,RJF5H69,5 - URBANO COM AR,1-Jun-24,2862,820.8,3.49,0,0,0,4875.55
146055,SRP3E83,5 - URBANO COM AR,1-Apr-24,9055,3662.4,2.47,0,0,0,21754.66
146055,SRP3E83,5 - URBANO COM AR,1-Sep-24,8921,3330.2,2.68,0,0,0,19781.39
146055,SRP3E83,5 - URBANO COM AR,1-Oct-24,8612,3099.9,2.78,0,0,0,18413.41
146055,SRP3E83,5 - URBANO COM AR,1-Nov-24,8206,3338.1,2.46,0,0,0,19828.31
146056,LUH7H82,5 - URBANO COM AR,1-Jan-25,8424,3172.7,2.66,0,0,0,18845.84
146056,LUH7H82,5 - URBANO COM AR,1-Mar-24,8209,3287.1,2.5,0,0,0,19525.37
146056,LUH7H82,5 - URBANO COM AR,1-Oct-24,8578,3129.1,2.74,0,0,0,18586.85
146057,SRD9C78,5 - URBANO COM AR,1-Apr-24,4202,1315.6,3.19,0,0,0,7814.66
146057,SRD9C78,5 - URBANO COM AR,1-Jun-24,11594,3259.1,3.56,0,0,0,19359.05
146060,SRB8I88,5 - URBANO COM AR,1-Jan-25,10088,3843.8,2.62,0,0,0,22832.17
146060,SRB8I88,5 - URBANO COM AR,1-Feb-24,1036,559.8,1.85,0,0,0,3325.21
146060,SRB8I88,5 - URBANO COM AR,1-Mar-24,6208,2308.5,2.69,0,0,0,13712.49
146060,SRB8I88,5 - URBANO COM AR,1-Oct-24,9197,3360.5,2.74,0,0,0,19961.37
